Gal,System,Pos,Planeta / Nazwa (Aktywność),Księżyc,PZ,Status,Gracz,Sojusz,Akcja,Pozycja,PlayerId,PlanetId,Komentarz covidu,,
,,,5739 planet / 9 opuszczonych,230 moonów,,,zielony = idler,1813 idlerów,,,,, by matej & polkin3run & rabus,,
,,,,,,,,,,,,,,,
1,20,2,,,,,,,,0,0,0,,287,102002
1,20,3,,,,,,,,0,0,0,,288,102003
1,20,4,,,,,,,,0,0,0,,289,102004
1,20,5,Planeta macierzysta,,,,Snejki,-,Szpieguj,950,1924,1923,,290,102005
1,20,6,Planeta macierzysta,,,i,xddd,-,Szpieguj,1984,1026,1025,,291,102006
1,20,7,Ekstraktor krokodyla,,,,Roszp,CO5G,Szpieguj,428,1015,5753,,292,102007
1,20,8,Hawkins,,,u,mindflayer,-,Szpieguj,719,23,3642,,293,102008
1,20,9,Alpha Centauri (*),,,,Matiz,NW,Szpieguj,579,2704,5800,,294,102009
1,21,1,,,,,,,,0,0,0,,301,102101
1,21,10,Planeta macierzysta,,,,sonyx,-,Szpieguj,1022,1027,1026,,310,102110
1,21,11,,,,,,,,0,0,0,,311,102111
1,21,12,,,,,,,,0,0,0,,312,102112
1,21,13,,,,,,,,0,0,0,,313,102113
1,21,14,,,,,,,,0,0,0,,314,102114
1,21,15,,,,,,,,0,0,0,,315,102115
1,21,2,,,,,,,,0,0,0,,302,102102
1,21,3,,,,,,,,0,0,0,,303,102103
1,21,4,,,,,,,,0,0,0,,304,102104
1,21,5,,,,,,,,0,0,0,,305,102105
1,21,6,,,,,,,,0,0,0,,306,102106
1,21,7,Kolonia,,,u,davidow69,-,Szpieguj,1043,2706,5746,,307,102107
1,21,8,prosze farmic (22 min),,,,MG78,DWA,Szpieguj,580,6,5064,,308,102108
1,21,9,Planeta macierzysta,,,i,Lalatina,-,Szpieguj,1606,2707,5488,,309,102109
1,22,1,,,,,,,,0,0,0,,316,102201
1,22,10,,,,,,,,0,0,0,,325,102210
1,22,11,,,,,,,,0,0,0,,326,102211
1,22,12,,,,,,,,0,0,0,,327,102212
1,22,13,,,,,,,,0,0,0,,328,102213
1,22,14,,,,,,,,0,0,0,,329,102214
1,22,15,,,,,,,,0,0,0,,330,102215
1,22,2,,,,,,,,0,0,0,,317,102202
1,22,3,,,,,,,,0,0,0,,318,102203
1,22,4,,,,,,,,0,0,0,,319,102204
1,22,5,Planeta macierzysta,,,i,mack,-,Szpieguj,1724,1925,1924,,320,102205
1,22,6,Planeta macierzysta,,,g,wojtek899,-,Szpieguj,2191,1028,1027,,321,102206
1,22,7,Kein Planet (52 min),,,,axis21,-,Szpieguj,207,1907,5183,,322,102207
1,22,8,Keine Planet (52 min),,,,axis21,-,Szpieguj,207,1907,5944,,323,102208
1,22,9,Beta Centauri (*),,,,Matiz,NW,Szpieguj,579,2704,5875,,324,102209
1,23,1,,,,,,,,0,0,0,,331,102301
1,23,10,,,,,,,,0,0,0,,340,102310
1,23,11,,,,,,,,0,0,0,,341,102311
1,23,12,Planeta macierzysta,,,i,flatronw,-,Szpieguj,1985,1029,1028,,342,102312
1,23,13,,,,,,,,0,0,0,,343,102313
1,23,14,,,,,,,,0,0,0,,344,102314
1,23,15,,,,,,,,0,0,0,,345,102315
1,23,2,,,,,,,,0,0,0,,332,102302
1,23,3,Izrael (19 min),,,,LordOfThisWorld,UDO,Szpieguj,642,2708,5498,,333,102303
1,23,4,Planeta macierzysta,,,i,Tsuyokisan,-,Szpieguj,1725,1926,1925,,334,102304
1,23,5,Wietnam (19 min),,,,LordOfThisWorld,UDO,Szpieguj,642,2708,5747,,335,102305
1,23,6,Wieliczka (*),,,,LordOfThisWorld,UDO,Szpieguj,642,2708,6140,,336,102306
1,23,7,Kebab (19 min),,,,LordOfThisWorld,UDO,Szpieguj,642,2708,5869,,337,102307
1,23,8,Dzienna Zakampa,,,,TheHunterPL,UDO,Szpieguj,349,2541,6491,,338,102308
1,23,9,Colony (*),,,,Matiz,NW,Szpieguj,579,2704,6454,,339,102309
1,24,1,,,,,,,,0,0,0,,346,102401
1,24,10,,,,,,,,0,0,0,,355,102410
1,24,11,,,,,,,,0,0,0,,356,102411
1,24,12,,,,,,,,0,0,0,,357,102412
1,24,13,,,,,,,,0,0,0,,358,102413
1,24,14,,,,,,,,0,0,0,,359,102414
1,24,15,,,,,,,,0,0,0,,360,102415
1,24,2,,,,,,,,0,0,0,,347,102402
1,24,3,,,,,,,,0,0,0,,348,102403
1,24,4,,,,,,,,0,0,0,,349,102404
1,24,5,Planeta macierzysta,,,i,xxx,-,Szpieguj,1923,27,26,,350,102405
1,24,6,,,,,,,,0,0,0,,351,102406
1,24,7,Planeta macierzysta,,,u,mK4y,-,Szpieguj,2192,1030,1029,,352,102407
1,24,8,,,,,,,,0,0,0,,353,102408
1,24,9,,,,,,,,0,0,0,,354,102409
1,25,1,,,,,,,,0,0,0,,361,102501
1,25,10,,,,,,,,0,0,0,,370,102510
1,25,11,_ (17 min),,,,WildOwl,-,Szpieguj,74,1031,4832,,371,102511
1,25,12,321,,,,UnRev,BEST,Szpieguj,372,28,2987,,372,102512
1,25,13,,,,,,,,0,0,0,,373,102513
1,25,14,,,,,,,,0,0,0,,374,102514
1,25,15,,,,,,,,0,0,0,,375,102515
1,25,2,Ľ (17 min),,,,WildOwl,-,Szpieguj,74,1031,5588,,362,102502
1,25,3,Planeta macierzysta,,,,Adas2332,-,Szpieguj,978,2709,5518,,363,102503
1,25,4,123,,,,UnRev,BEST,Szpieguj,372,28,27,,364,102504
1,25,5,Kolonia,,,,utqwd,-,Szpieguj,218,1012,5656,,365,102505
1,25,6,___ (17 min),,,,WildOwl,-,Szpieguj,74,1031,1030,,366,102506
1,25,7,__ (17 min),,,,WildOwl,-,Szpieguj,74,1031,3205,,367,102507
1,25,8,,,,,,,,0,0,0,,368,102508
